,treatment_eq,treatment_eq_without_zeros,tpr,fnr,ppv,npv,fpr,accuracy,tp,fp,fn,tn,race,sentimient,model
0,inf,203.0,0.7114285714285714,0.2885714285714286,1.0,0.9151973131821999,0.0,0.9298611111111111,498,0,202,2180,european,anger,electra
0,99.5,99.5,0.7157142857142857,0.2842857142857143,0.9960238568588469,0.9162810265039967,0.0009174311926605505,0.9302083333333333,501,2,199,2178,afroamerican,anger,electra
0,inf,207.0,0.7057142857142857,0.29428571428571426,1.0,0.9136630343671417,0.0,0.9284722222222223,494,0,206,2180,european,fear,electra
0,inf,227.0,0.6771428571428572,0.32285714285714284,1.0,0.9060681629260183,0.0,0.9215277777777777,474,0,226,2180,afroamerican,fear,electra
0,3.6,3.6,0.8971428571428571,0.10285714285714286,0.9691358024691358,0.967741935483871,0.009174311926605505,0.9680555555555556,628,20,72,2160,european,joy,electra
0,4.95,4.95,0.8585714285714285,0.14142857142857143,0.9677938808373591,0.9561752988047809,0.009174311926605505,0.9586805555555555,601,20,99,2160,afroamerican,joy,electra
0,0.0,0.002364066193853428,1.0,0.0,0.1593625498007968,1.0,0.15071428571428572,0.8534722222222222,80,422,0,2378,european,neutral,electra
0,0.0,0.0021141649048625794,1.0,0.0,0.14492753623188406,1.0,0.16857142857142857,0.8361111111111111,80,472,0,2328,afroamerican,neutral,electra
0,0.7266187050359713,0.7266187050359713,0.8557142857142858,0.1442857142857143,0.8116531165311653,0.9528478057889822,0.06376146788990826,0.9166666666666666,599,139,101,2041,european,sadness,electra
0,0.781021897810219,0.781021897810219,0.8471428571428572,0.15285714285714286,0.8123287671232877,0.9502325581395349,0.06284403669724771,0.9152777777777777,593,137,107,2043,afroamerican,sadness,electra
0,7.5,7.5,0.7857142857142857,0.21428571428571427,0.9649122807017544,0.935064935064935,0.009174311926605505,0.9409722222222222,550,20,150,2160,european,anger,roberta
0,6.857142857142857,6.857142857142857,0.7942857142857143,0.2057142857142857,0.9636048526863085,0.9374728614850195,0.00963302752293578,0.9427083333333334,556,21,144,2159,afroamerican,anger,roberta
0,18.823529411764707,18.823529411764707,0.5428571428571428,0.45714285714285713,0.9571788413098237,0.8711236407571487,0.007798165137614679,0.8829861111111111,380,17,320,2163,european,fear,roberta
0,23.285714285714285,23.285714285714285,0.5342857142857143,0.4657142857142857,0.9639175257731959,0.8691813804173355,0.006422018348623854,0.8819444444444444,374,14,326,2166,afroamerican,fear,roberta
0,inf,162.0,0.77,0.23,1.0,0.9312259718069201,0.0,0.9440972222222223,539,0,161,2180,european,joy,roberta
0,145.0,145.0,0.7928571428571428,0.20714285714285716,0.9982014388489209,0.9376075731497419,0.00045871559633027525,0.9493055555555555,555,1,145,2179,afroamerican,joy,roberta
0,0.0,0.0015037593984962407,1.0,0.0,0.10752688172043011,1.0,0.23714285714285716,0.7694444444444445,80,664,0,2136,european,neutral,roberta
0,0.0,0.0014903129657228018,1.0,0.0,0.10666666666666667,1.0,0.2392857142857143,0.7673611111111112,80,670,0,2130,afroamerican,neutral,roberta
0,1.6481481481481481,1.6481481481481481,0.7457142857142857,0.2542857142857143,0.8285714285714286,0.9208888888888889,0.04954128440366973,0.9006944444444445,522,108,178,2072,european,sadness,roberta
0,2.0224719101123596,2.0224719101123596,0.7428571428571429,0.2571428571428571,0.8538587848932676,0.9207397622192867,0.0408256880733945,0.9065972222222223,520,89,180,2091,afroamerican,sadness,roberta
0,11.25,11.25,0.7428571428571429,0.2571428571428571,0.9701492537313433,0.9232081911262798,0.007339449541284404,0.9319444444444445,520,16,180,2164,european,anger,bert
0,4.261904761904762,4.261904761904762,0.7442857142857143,0.2557142857142857,0.9253996447602132,0.9227449287872248,0.01926605504587156,0.9232638888888889,521,42,179,2138,afroamerican,anger,bert
0,4.476190476190476,4.476190476190476,0.7314285714285714,0.26857142857142857,0.924187725631769,0.9191745485812554,0.01926605504587156,0.9201388888888888,512,42,188,2138,european,fear,bert
0,9.2,9.2,0.6714285714285714,0.32857142857142857,0.9494949494949495,0.9035639412997903,0.011467889908256881,0.9114583333333334,470,25,230,2155,afroamerican,fear,bert
0,1.6363636363636365,1.6363636363636365,0.9742857142857143,0.025714285714285714,0.9841269841269841,0.9917695473251029,0.005045871559633028,0.9899305555555555,682,11,18,2169,european,joy,bert
0,8.166666666666666,8.166666666666666,0.93,0.07,0.9908675799086758,0.9779577147998201,0.0027522935779816515,0.9809027777777778,651,6,49,2174,afroamerican,joy,bert
0,0.0,0.0025,1.0,0.0,0.16701461377870563,1.0,0.1425,0.8614583333333333,80,399,0,2401,european,neutral,bert
0,0.0,0.0020491803278688526,1.0,0.0,0.14109347442680775,1.0,0.17392857142857143,0.8309027777777778,80,487,0,2313,afroamerican,neutral,bert
0,1.8453608247422681,1.8453608247422681,0.7442857142857143,0.2557142857142857,0.843042071197411,0.920866489832007,0.0444954128440367,0.9041666666666667,521,97,179,2083,european,sadness,bert
0,2.259259259259259,2.259259259259259,0.7385714285714285,0.26142857142857145,0.8645484949832776,0.9198071866783524,0.037155963302752296,0.9083333333333333,517,81,183,2099,afroamerican,sadness,bert
0,23.3125,23.3125,0.46714285714285714,0.5328571428571428,0.9533527696793003,0.8529759558533702,0.007339449541284404,0.8649305555555555,327,16,373,2164,european,anger,robertuito
0,20.166666666666668,20.166666666666668,0.48142857142857143,0.5185714285714286,0.9492957746478873,0.8562376237623762,0.008256880733944955,0.8677083333333333,337,18,363,2162,afroamerican,anger,robertuito
